Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac_Fa,Ratio_Stab_Fa,O_content,LHSV_mlhg,Temperature_K,Pressure_bar,g_cat,Fa_mmolmin,Ac_mmolmin,Y_Acryl_Ac,Y_Acryl_Fa,STY_Acryl_mmolhg,doi,Link_to_excel,Density,Ac_mmolming,Fa_mmolming,MeOH_mmolming,Water_mmolming,STY_Acryl_mmolhg_Ac,STY_Acryl_mmolhg_Fa
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",3.0,0.0,0.045,1.32,633,1,3.0,0.270110339335822,0.8103310180074661,0.1975,0.5925,3.200807521129491,10.1038/s41598-019-53180-8,,1.06210584973537,0.2682576482568507,0.08941921608561691,0.0,0.0,3.1788531318436815,3.1788531318436815
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",3.0,0.0,0.045,0.44,633,1,3.0,0.08935981150959525,0.26807943452878574,0.20376999999999998,0.6113099999999999,1.0925309274786132,10.1038/s41598-019-53180-8,,1.06210584973537,0.0894192160856169,0.0298064053618723,0.0,0.0,1.0932572197059693,1.0932572197059693
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",3.0,0.0,0.045,0.44,633,1,3.0,0.08935981150959525,0.26807943452878574,0.16567600000000002,0.497028,0.8882865678998222,10.1038/s41598-019-53180-8,,1.06210584973537,0.0894192160856169,0.0298064053618723,0.0,0.0,0.88887708265204,0.88887708265204
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,TRX,None,2.5,0.0,0.0225,0.44,633,1,3.0,0.15372522897585347,0.3843130724396337,0.20983419,0.524585475,1.612840445235637,10.1038/s41598-019-53180-8,,1.2597703750236133,0.1281995515459812,0.05127982061839248,0.0,0.0,1.6140389434208529,1.6140389434208526
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,DMM,None,2.5,0.0,0.0225,0.44,633,1,3.0,0.09499578104027404,0.2374894526006851,0.1784,0.446,0.8473623668792444,10.1038/s41598-019-53180-8,,0.9773693313939579,0.07920976832757581,0.031683907331030325,0.0,0.0,0.8478613601783715,0.8478613601783715
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.039,1.3333333333333333,633,1,3.0,0.3064103049153603,0.7660257622884007,0.159,0.3975,2.435961924077114,10.1039/C9CC08700A,UnsupportedVPO,1.0636978963103265,0.2555019786673813,0.10220079146695252,0.0,0.0,2.4374888764868174,2.437488876486818
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.039,1.3333333333333333,633,1,3.0,0.3064103049153603,0.7660257622884007,0.188,0.47,2.880256866204387,10.1039/C9CC08700A,33%VPO-MCF,1.0636978963103265,0.2555019786673813,0.10220079146695252,0.0,0.0,2.882062319368061,2.882062319368061
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.039,1.3333333333333333,633,1,3.0,0.3064103049153603,0.7660257622884007,0.204,0.51,3.1253851101366745,10.1039/C9CC08700A,33%VPO-SilicaHP,1.0636978963103265,0.2555019786673813,0.10220079146695252,0.0,0.0,3.1273442188887466,3.127344218888747
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.039,1.3333333333333333,633,1,3.0,0.3064103049153603,0.7660257622884007,0.158,0.395,2.4206414088313464,10.1039/C9CC08700A,,1.0636978963103265,0.2555019786673813,0.10220079146695252,0.0,0.0,2.4221587577667747,2.422158757766775
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13384707263740508,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.13384707263740506,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.039,1.3333333333333333,633,1,3.0,0.3064103049153603,0.7660257622884007,0.198,0.495,3.033462018662067,10.1039/C9CC08700A,,1.0636978963103265,0.2555019786673813,0.10220079146695252,0.0,0.0,3.0353635065684896,3.0353635065684896
