Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Siloxane,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac/Fa,Ratio_Stab/Fa,O_Percentage,LHSV__ml/h/g_,Temperature__K_,STY_MA+AA_(mmol/h/g),reactant_score
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,1.0,2.0,0.0,3.2,653.0,7.903561347560993,-0.18104289505166793
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,3.0,3.0,0.0,7.2,663.0,13.45604648323464,0.00616887586858389
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,0.0,5.0,0.0,21.0,1.2,623.0,0.05598754483801297,0.541174243830989
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,0.0,5.0,0.0,21.0,1.2,623.0,0.150405173650108,0.541174243830989
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,0.0,0.5,0.0,0.0,3.6,663.0,21.21964717062635,0.09997530066165947
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,0.0,2.0,0.0,0.0,3.6,663.0,13.61464794816415,0.3941079294412124
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,3.0,3.0,0.0,7.2,663.0,10.39883272224373,0.00616887586858389
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,0.0,5.0,0.0,21.0,1.2,623.0,0.04646637978401728,0.541174243830989
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,0.0,5.0,0.0,21.0,1.2,623.0,0.2214445889416847,0.541174243830989
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,1.0,2.0,0.0,1.2,628.0,1.495361048493642,-0.18104289505166793
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,0.6666666666666666,2.0,0.0,1.2,628.0,1.64176449330127,-0.2600686635309801
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,0.5,1.0,0.0,1.2,623.0,1.091613565400359,-0.18366578166491304
